get(0, 'diaryfile')

ans =

corrida14.txt

main(50, 0.9, 0.4)
115: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
116: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
117: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
118: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
119: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
120: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
121: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
122: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
123: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
124: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
125: Viorest: 6.4337e-08, aptitud: 1000.00000000000000000000, vector: 0.36674504553319986000 0.14626254988181978000 0.36674498119633336000 0.31637642701045732000-0.25380822812496628000
126: Viorest: 9.1669e-09, aptitud: 1000.00000000000000000000, vector: 0.25521442941155181000 0.05513630404248517200 0.25521442024464275000 0.1072679895445329000035.35427250280000100000
127: Viorest: 5.9989e-09, aptitud: 1000.00000000000000000000, vector: 0.29993248224649149000 0.10830411506052208000 0.29993247624755831000 0.2255494383042578300039.32998035872611100000
128: Viorest: 5.9989e-09, aptitud: 1000.00000000000000000000, vector: 0.29993248224649149000 0.10830411506052208000 0.29993247624755831000 0.2255494383042578300039.32998035872611100000
129: Viorest: 5.9989e-09, aptitud: 1000.00000000000000000000, vector: 0.29993248224649149000 0.10830411506052208000 0.29993247624755831000 0.2255494383042578300039.32998035872611100000
130: Viorest: 5.9989e-09, aptitud: 1000.00000000000000000000, vector: 0.29993248224649149000 0.10830411506052208000 0.29993247624755831000 0.2255494383042578300039.32998035872611100000
131: Viorest: 5.9989e-09, aptitud: 1000.00000000000000000000, vector: 0.29993248224649149000 0.10830411506052208000 0.29993247624755831000 0.2255494383042578300039.32998035872611100000
132: Viorest: 5.9989e-09, aptitud: 1000.00000000000000000000, vector: 0.29993248224649149000 0.10830411506052208000 0.29993247624755831000 0.2255494383042578300039.32998035872611100000
133: Viorest: 5.9989e-09, aptitud: 1000.00000000000000000000, vector: 0.29993248224649149000 0.10830411506052208000 0.29993247624755831000 0.2255494383042578300039.32998035872611100000
134: Viorest: 2.9084e-09, aptitud: 1000.00000000000000000000, vector: 0.31116618708985211000 0.10412881201342332000 0.31116618418140574000 0.2025833976171958500034.08827645338480000000
135: Viorest: 2.9084e-09, aptitud: 1000.00000000000000000000, vector: 0.31116618708985211000 0.10412881201342332000 0.31116618418140574000 0.2025833976171958500034.08827645338480000000
136: Viorest: 1.2548e-09, aptitud: 1000.00000000000000000000, vector: 0.49246186837193862000 0.06148180674441473800 0.49246186711712459000 0.1755784979698797900016.88864497582413200000
137: Viorest: 6.7149e-10, aptitud: 1000.00000000000000000000, vector: 0.46011827552873763000  0.10042352738640169000  0.46011827485725115000  0.15283965989807108000-26.79066618373819300000
138: Viorest: 6.7149e-10, aptitud: 1000.00000000000000000000, vector: 0.46011827552873763000  0.10042352738640169000  0.46011827485725115000  0.15283965989807108000-26.79066618373819300000
139: Viorest: 6.3552e-10, aptitud: 1000.00000000000000000000, vector: 0.45748442611337203000  0.12971844297127769000  0.45748442547784918000  0.20143959207243739000-28.18411131247512500000
140: Viorest: 5.3091e-10, aptitud: 1000.00000000000000000000, vector: 0.38077833094927305000 0.07798389379209512400 0.38077833041836723000 0.2004923486811089100018.95220411965535600000
141: Viorest: 5.3091e-10, aptitud: 1000.00000000000000000000, vector: 0.38077833094927305000 0.07798389379209512400 0.38077833041836723000 0.2004923486811089100018.95220411965535600000
142: Viorest: 4.0004e-11, aptitud: 1000.00000000000000000000, vector: 0.18720585527810485000 0.05416296762115034600 0.18720585523810085000 0.1755784979698797900013.88423689774825200000
143: Viorest: 4.0004e-11, aptitud: 1000.00000000000000000000, vector: 0.18720585527810485000 0.05416296762115034600 0.18720585523810085000 0.1755784979698797900013.88423689774825200000
144: Viorest: 4.0004e-11, aptitud: 1000.00000000000000000000, vector: 0.18720585527810485000 0.05416296762115034600 0.18720585523810085000 0.1755784979698797900013.88423689774825200000
145: Viorest: 3.4633e-11, aptitud: 1000.00000000000000000000, vector: 0.44098423391544272000  0.12859897935497283000  0.44098423388080954000  0.17201624715700364000-26.61494519187235100000
146: Viorest: 3.4633e-11, aptitud: 1000.00000000000000000000, vector: 0.44098423391544272000  0.12859897935497283000  0.44098423388080954000  0.17201624715700364000-26.61494519187235100000
147: Viorest: 8.4205e-12, aptitud: 1000.00000000000000000000, vector: 0.48447837379514747000  0.09225928398505567300  0.48447837378672698000  0.17445368562449892000-37.39179889093509200000
