main(50, 0.9, 0.4)
58: Viorest: 2.4291e-06, aptitud: 1000.00000000000000000000, vector: 0.135511548363220880000.094273275206065266000.168726795536018910000.168729224683026010002.27687998782693770000
59: Viorest: 2.4291e-06, aptitud: 1000.00000000000000000000, vector: 0.135511548363220880000.094273275206065266000.168726795536018910000.168729224683026010002.27687998782693770000
60: Viorest: 2.4291e-06, aptitud: 1000.00000000000000000000, vector: 0.135511548363220880000.094273275206065266000.168726795536018910000.168729224683026010002.27687998782693770000
61: Viorest: 2.4291e-06, aptitud: 1000.00000000000000000000, vector: 0.135511548363220880000.094273275206065266000.168726795536018910000.168729224683026010002.27687998782693770000
62: Viorest: 2.4291e-06, aptitud: 1000.00000000000000000000, vector: 0.135511548363220880000.094273275206065266000.168726795536018910000.168729224683026010002.27687998782693770000
63: Viorest: 1.1589e-06, aptitud: 1000.00000000000000000000, vector: 0.20931015224688748000 0.16333416708463894000 0.26874698094831934000 0.26874813981758761000-5.67032596524576960000
64: Viorest: 6.5866e-07, aptitud: 1000.00000000000000000000, vector: 0.23098167657754959000 0.18729689258190113000 0.27318568623888750000 0.2731863449029590100017.61627282274243100000
65: Viorest: 6.5866e-07, aptitud: 1000.00000000000000000000, vector: 0.23098167657754959000 0.18729689258190113000 0.27318568623888750000 0.2731863449029590100017.61627282274243100000
66: Viorest: 6.5866e-07, aptitud: 1000.00000000000000000000, vector: 0.23098167657754959000 0.18729689258190113000 0.27318568623888750000 0.2731863449029590100017.61627282274243100000
67: Viorest: 1.6239e-07, aptitud: 1000.00000000000000000000, vector: 0.15670125968898821000 0.11606281485705885000 0.18463286615939350000 0.1846330285447876900022.11633234711646900000
68: Viorest: 1.6239e-07, aptitud: 1000.00000000000000000000, vector: 0.15670125968898821000 0.11606281485705885000 0.18463286615939350000 0.1846330285447876900022.11633234711646900000
69: Viorest: 1.6239e-07, aptitud: 1000.00000000000000000000, vector: 0.15670125968898821000 0.11606281485705885000 0.18463286615939350000 0.1846330285447876900022.11633234711646900000
