main(50, 0.9, 0.4)
89: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 83.1303
90: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 84.3988
91: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 85.7371
92: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 86.9302
93: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 88.0663
94: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 89.472
95: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 90.8097
96: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 92.414
97: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 93.9299
98: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 95.0239
99: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 96.1713
100: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 97.606
101: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 98.8266
102: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 99.9972
103: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 101.1676
104: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 102.6011
105: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 104.0053
106: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 105.3624
107: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 106.8678
108: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 108.2057
109: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 109.24
110: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 110.3243
111: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 111.3052
112: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 112.5364
113: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 114.0464
114: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 115.1175
115: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 116.2347
116: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 117.4563
117: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 118.6376
