main(40, .6, .5)
93: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
94: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
95: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
96: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
97: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
98: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
99: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
100: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
101: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
102: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
103: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
104: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
105: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
106: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
107: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
108: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
109: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
110: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
111: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
112: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
113: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
