
main(40, .6, .5)
87: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
88: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
89: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
90: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
91: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
92: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
93: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
94: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
95: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
96: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
97: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
98: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
99: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
100: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
101: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
102: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
103: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
104: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
105: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
106: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
107: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
108: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
109: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
110: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
111: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
112: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
113: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
114: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
