97: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 77.467
98: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 78.535
99: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 79.6932
100: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 80.688
101: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 81.5652
102: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 82.6477
103: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 83.6933
104: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 84.6246
105: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 85.6194
106: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 86.4364
107: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 87.3642
108: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 88.6424
109: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 89.4293
110: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 90.1951
111: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 91.246
112: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 92.1214
113: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 93.2259
114: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 94.1533
115: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 95.2018
116: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 96.3191
117: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 97.2982
118: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 98.4543
119: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 99.3571
120: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 100.3592
121: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 101.3368
122: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 102.459
123: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 103.5229
124: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 104.5243
125: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 105.4856
126: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 106.7358
127: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 107.7926
128: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 108.7999
129: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 109.6329
130: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 110.5363
131: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 111.632
132: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 112.7268
133: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 113.6717
134: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 114.3666
135: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 115.1946
136: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 116.2782
137: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 117.1949
138: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 117.9971
139: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 118.9606
