65: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 54.8206
66: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 55.8098
67: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 56.8669
68: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 57.8549
69: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 58.5731
70: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 59.5747
71: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 60.5901
72: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 61.4686
73: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 62.3073
74: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 63.0131
75: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 63.8894
76: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 64.931
77: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 65.8907
78: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 66.8004
79: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 67.6713
80: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 68.6269
81: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 69.6477
82: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 70.481
83: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 71.4308
84: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 72.2906
85: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 73.1832
86: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 74.0945
87: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 74.9716
88: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 76.0203
89: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 76.6837
90: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 77.6636
