117: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 100.2491
118: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 100.9983
119: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 101.6888
120: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 102.5114
121: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 103.419
122: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 104.0903
123: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 104.748
124: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 105.5712
125: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 106.3588
126: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 107.312
127: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 108.4319
128: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 109.3382
129: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 110.0562
130: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 110.8817
131: Viorest: 1.1364e-05, aptitud: 0.00000000000000000000, vector: 0.45537572907133822000  0.09741357982062459600  0.45536436499499799000  0.20007790934205288000-14.00641757045128900000 , tt: 111.7178
132: Viorest: 1.1364e-05, aptitud: 0.00000000000000000000, vector: 0.45537572907133822000  0.09741357982062459600  0.45536436499499799000  0.20007790934205288000-14.00641757045128900000 , tt: 112.6701
133: Viorest: 1.1364e-05, aptitud: 0.00000000000000000000, vector: 0.45537572907133822000  0.09741357982062459600  0.45536436499499799000  0.20007790934205288000-14.00641757045128900000 , tt: 113.5718
134: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 114.6542
135: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 115.4936
136: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 116.3731
