84: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 72.6393
85: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 73.3837
86: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 74.2224
87: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 75.0135
88: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 75.9945
89: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 77.0041
90: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 77.9932
91: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 78.9046
92: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 79.6514
93: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 80.4004
94: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 81.4387
95: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 82.6107
96: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 83.6848
97: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 84.6847
98: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 85.7862
99: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 86.8763
100: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 87.9798
101: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 89.2957
102: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 90.3068
103: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 91.3109
