64: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 38.3353
65: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 38.9025
66: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 39.8278
67: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 40.4281
68: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 40.9328
69: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 41.4973
70: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 42.1408
71: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 42.8648
72: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 43.4483
73: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 44.0414
74: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 44.5511
75: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 45.1789
76: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 45.8565
77: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 46.4989
78: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 47.0123
79: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 47.6612
80: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 48.2812
81: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 48.9318
82: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 49.4621
83: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 50.1426
84: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 50.6454
