main( 50, .9, .4)
66: Viorest: 4.015e-10, aptitud: 1000.00000000000000000000, vector: 0.49299015077185276000  0.27126389588135902000  0.49299015037035132000  0.39250127790158212000-43.34552951579093600000
67: Viorest: 4.015e-10, aptitud: 1000.00000000000000000000, vector: 0.49299015077185276000  0.27126389588135902000  0.49299015037035132000  0.39250127790158212000-43.34552951579093600000
68: Viorest: 4.015e-10, aptitud: 1000.00000000000000000000, vector: 0.49299015077185276000  0.27126389588135902000  0.49299015037035132000  0.39250127790158212000-43.34552951579093600000
69: Viorest: 4.015e-10, aptitud: 1000.00000000000000000000, vector: 0.49299015077185276000  0.27126389588135902000  0.49299015037035132000  0.39250127790158212000-43.34552951579093600000
70: Viorest: 4.015e-10, aptitud: 1000.00000000000000000000, vector: 0.49299015077185276000  0.27126389588135902000  0.49299015037035132000  0.39250127790158212000-43.34552951579093600000
71: Viorest: 2.2738e-10, aptitud: 1000.00000000000000000000, vector: 0.48611108944296394000  0.36048398771392776000  0.48611108921558144000  0.43974916070803677000-28.32576660495632500000
72: Viorest: 6.8649e-11, aptitud: 1000.00000000000000000000, vector: 0.49733546881138568000  0.36223024833089978000  0.49733546874273715000  0.43111782486143430000-41.95497355118992300000
73: Viorest: 6.8649e-11, aptitud: 1000.00000000000000000000, vector: 0.49733546881138568000  0.36223024833089978000  0.49733546874273715000  0.43111782486143430000-41.95497355118992300000
74: Viorest: 7.7512e-12, aptitud: 1000.00000000000000000000, vector: 0.491654897487703520000.385756132707687940000.491654897479952280000.481081442424413860009.97267023840296220000
75: Viorest: 7.7512e-12, aptitud: 1000.00000000000000000000, vector: 0.491654897487703520000.385756132707687940000.491654897479952280000.481081442424413860009.97267023840296220000
76: Viorest: 7.7512e-12, aptitud: 1000.00000000000000000000, vector: 0.491654897487703520000.385756132707687940000.491654897479952280000.481081442424413860009.97267023840296220000
77: Viorest: 7.7512e-12, aptitud: 1000.00000000000000000000, vector: 0.491654897487703520000.385756132707687940000.491654897479952280000.481081442424413860009.97267023840296220000
